Ward Names,28/02/2020 - 05/03/2020,06/03/2020 - 12/03/2020,13/03/2020 - 19/03/2020,20/03/2020 - 26/03/2020,27/03/2020 - 02/04/2020,03/04/2020 - 09/04/2020,10/04/2020 - 16/04/2020,17/04/2020 - 23/04/2020,24/04/2020 - 30/04/2020,01/05/2020 - 07/05/2020,08/05/2020 - 14/05/2020,15/05/2020 - 21/05/2020,22/05/2020 - 28/05/2020,29/05/2020 - 04/06/2020,05/06/2020 - 11/06/2020,12/06/2020 - 18/06/2020,19/06/2020 - 25/06/2020,26/06/2020 - 02/07/2020,03/07/2020 - 09/07/2020,10/07/2020 - 16/07/2020,17/07/2020 - 23/07/2020,24/07/2020 - 30/07/2020,31/07/2020 - 06/08/2020,07/08/2020 - 13/08/2020,14/08/2020 - 20/08/2020,21/08/2020 - 27/08/2020,28/08/2020 - 03/09/2020,04/09/2020 - 10/09/2020,11/09/2020 - 17/09/2020,18/09/2020 - 24/09/2020,25/09/2020 - 01/10/2020,02/10/2020 - 08/10/2020,09/10/2020 - 15/10/2020,16/10/2020 - 22/10/2020,23/10/2020 - 29/10/2020,30/10/2020 - 05/11/2020,06/11/2020 - 12/11/2020,13/11/2020 - 19/11/2020,20/11/2020 - 26/11/2020,27/11/2020 - 03/12/2020,04/12/2020 - 10/12/2020,11/12/2020 - 17/12/2020,18/12/2020 - 24/12/2020,25/12/2020 - 31/12/2020,01/01/2021 - 07/01/2021,08/01/2021 - 14/01/2021,15/01/2021 - 21/01/2021,22/01/2021 - 28/01/2021,29/01/2021 - 04/02/2021,05/02/2021 - 11/02/2021,12/02/2021 - 15/02/2021
Adel & Wharfedale,0,0,0,2.5,2.5,41.02353725,46.15147941,41.02353725,30.76765294,25.63971078,2.5,2.5,2.5,0,2.5,2.5,2.5,2.5,0,2.5,2.5,2.5,2.5,2.5,0,2.5,25.63971078,2.5,87.17501667,102.5588431,107.6867853,164.094149,199.9897441,266.6529922,420.4912569,415.3633147,261.52505,271.7809343,210.2456284,102.5588431,87.17501667,82.04707451,205.1176863,317.9324137,389.7236039,225.6294549,210.2456284,138.4544382,169.2220912,112.8147274,56.40736372
Alwoodley,2.5,0,0,2.5,26.26855216,65.67138041,26.26855216,70.04947244,35.02473622,43.78092027,43.78092027,2.5,21.89046014,2.5,0,26.26855216,30.64664419,2.5,0,2.5,2.5,0,0,2.5,39.40282825,39.40282825,48.1590123,52.53710433,96.3180246,126.9646688,148.8551289,262.6855216,267.0636137,253.9293376,315.222626,337.1130861,363.3816383,328.3569021,183.8798652,109.4523007,96.3180246,113.8303927,402.7844665,354.6254542,433.4311107,494.7243991,450.9434788,253.9293376,96.3180246,188.2579572,35.02473622
Ardsley & Robin Hood,0,0,2.5,2.5,2.5,21.92405507,35.07848812,57.00254319,65.77216522,57.00254319,26.30886609,30.6936771,2.5,2.5,2.5,2.5,2.5,2.5,0,2.5,2.5,35.07848812,2.5,74.54178725,2.5,2.5,39.46329913,2.5,26.30886609,43.84811015,105.2354644,271.8582829,324.4760151,456.0203455,556.8709989,600.719109,574.4102429,403.4026133,236.7797948,171.0076296,127.1595194,171.0076296,188.5468736,302.55196,359.5545032,280.6279049,399.0178023,263.0886609,320.0912041,140.3139525,57.00254319
Armley,0,2.5,2.5,2.5,28.07524165,36.09673926,52.13973449,36.09673926,64.17198091,32.08599045,2.5,52.13973449,24.06449284,2.5,2.5,2.5,24.06449284,24.06449284,24.06449284,2.5,2.5,2.5,2.5,2.5,2.5,20.05374403,36.09673926,56.1504833,120.3224642,108.2902178,164.4407011,296.7954117,425.1393735,573.5370794,449.2038664,360.9673926,385.0318855,276.7416677,236.6341796,172.4621987,196.5266915,120.3224642,192.5159427,204.5481891,288.7739141,364.9781414,340.9136486,264.7094212,292.7846629,244.6556772,80.21497614
Beeston & Holbeck,0,0,2.5,2.5,30.03679507,45.05519261,30.03679507,101.3741834,67.58278892,60.07359015,22.52759631,22.52759631,2.5,18.77299692,37.54599384,2.5,0,2.5,2.5,2.5,2.5,2.5,0,22.52759631,52.56439138,2.5,41.30059323,93.86498461,101.3741834,93.86498461,150.1839754,240.2943606,277.8403544,319.1409477,390.478336,454.3065255,461.8157243,382.9691372,270.3311557,262.8219569,176.4661711,112.6379815,217.7667643,229.0305624,386.7237366,394.2329353,435.5335286,334.1593452,229.0305624,229.0305624,37.54599384
Bramley & Stanningley,0,0,2.5,2.5,22.000264,2.5,66.00079201,88.00105601,52.80063361,57.20068641,35.20042241,39.60047521,2.5,2.5,2.5,2.5,0,2.5,2.5,0,2.5,2.5,2.5,0,2.5,2.5,88.00105601,132.001584,105.6012672,66.00079201,136.4016368,308.003696,290.4034848,343.2041184,431.2051745,431.2051745,413.6049633,387.2046465,202.4024288,162.8019536,105.6012672,101.2012144,114.4013728,184.8022176,228.8027456,312.4037488,299.2035904,352.0042241,193.6023232,277.2033264,48.40058081
Burmantofts & Richmond Hill,0,0,0,2.5,2.5,35.32570298,60.05369507,105.9771089,67.11883566,60.05369507,56.52112477,88.31425745,2.5,21.19542179,2.5,24.72799209,2.5,21.19542179,21.19542179,17.66285149,2.5,24.72799209,21.19542179,35.32570298,56.52112477,81.24911686,148.3679525,123.6399604,134.2376713,190.7587961,211.9542179,353.2570298,459.2341388,452.1689982,289.6707644,356.7896001,300.2684753,307.3336159,222.5519288,176.6285149,201.356507,208.4216476,211.9542179,240.2147803,402.713014,339.1267486,370.9198813,257.8776318,261.4102021,169.5633743,38.85827328
Calverley & Farsley,0,0,0,2.5,2.5,25.91344908,30.23235726,56.14580634,47.50798998,38.87017362,86.3781636,47.50798998,2.5,30.23235726,30.23235726,51.82689816,38.87017362,2.5,2.5,25.91344908,2.5,2.5,2.5,25.91344908,38.87017362,25.91344908,146.8428781,272.0912153,181.3941436,168.437419,319.5992053,367.1071953,276.4101235,500.9933489,656.4740434,583.0526043,591.6904207,380.0639198,237.5399499,151.1617863,120.929429,120.929429,185.7130517,323.9181135,289.3668481,263.453399,384.382828,237.5399499,164.1185108,90.69707178,56.14580634
Chapel Allerton,0,0,0,20.59308072,28.83031301,65.89785832,53.54200988,123.5584843,57.66062603,49.42339374,24.71169687,2.5,2.5,2.5,24.71169687,86.49093904,41.18616145,2.5,2.5,2.5,0,2.5,24.71169687,2.5,0,57.66062603,102.9654036,115.3212521,102.9654036,189.4563427,234.7611203,387.1499176,366.5568369,366.5568369,345.9637562,337.7265239,457.1663921,465.4036244,263.5914333,156.5074135,144.1515651,164.7446458,284.184514,358.3196046,407.7429984,481.878089,383.0313015,271.8286656,234.7611203,284.184514,37.0675453
Cross Gates & Whinmoor,0,0,0,2.5,21.62629758,47.57785467,64.87889273,60.55363322,56.2283737,43.25259516,34.60207612,2.5,2.5,2.5,0,0,2.5,2.5,0,2.5,0,0,0,2.5,2.5,25.95155709,56.2283737,47.57785467,82.1799308,142.733564,177.3356401,337.3702422,445.5017301,644.4636678,644.4636678,609.8615917,601.2110727,358.9965398,255.1903114,268.16609,185.9861592,185.9861592,164.3598616,402.2491349,419.550173,307.0934256,320.0692042,337.3702422,281.1418685,173.0103806,43.25259516
