lsoa11cd,lsoa11nm,population
E01011264,Leeds 011A,1222
E01011265,Leeds 009A,1792
E01011266,Leeds 008A,2425
E01011267,Leeds 009B,1528
E01011268,Leeds 010A,1328
E01011269,Leeds 011B,1589
E01011270,Leeds 008B,1597
E01011271,Leeds 009C,2112
E01011272,Leeds 009D,1385
E01011273,Leeds 010B,1454
E01011274,Leeds 010C,1310
E01011275,Leeds 010D,1259
E01011276,Leeds 011C,1550
E01011277,Leeds 014A,1455
E01011278,Leeds 014B,1663
E01011279,Leeds 008C,1299
E01011280,Leeds 008D,2067
E01011281,Leeds 059A,2132
E01011282,Leeds 059B,1364
E01011283,Leeds 059C,1340
E01011284,Leeds 071A,1978
E01011286,Leeds 059D,1190
E01011287,Leeds 067B,1374
E01011292,Leeds 071B,1619
E01011293,Leeds 071C,1722
E01011294,Leeds 071D,1598
E01011295,Leeds 059E,1590
E01011296,Leeds 030A,1599
E01011297,Leeds 030B,1642
E01011298,Leeds 088A,1460
E01011299,Leeds 088B,2704
E01011300,Leeds 089A,1455
E01011301,Leeds 089B,1209
E01011302,Leeds 088C,1395
E01011303,Leeds 088D,1112
E01011304,Leeds 089C,1576
E01011305,Leeds 089D,1419
E01011306,Leeds 089E,1244
E01011307,Leeds 103A,1501
E01011308,Leeds 103B,1489
E01011309,Leeds 030C,1468
E01011310,Leeds 030D,1740
E01011311,Leeds 022A,1205
E01011312,Leeds 086A,1976
E01011313,Leeds 091A,1813
E01011314,Leeds 091B,1641
E01011315,Leeds 090A,1632
E01011316,Leeds 086B,2145
E01011317,Leeds 090B,1812
E01011318,Leeds 090C,1547
E01011319,Leeds 091C,1670
E01011320,Leeds 091D,1815
E01011321,Leeds 090D,1642
E01011322,Leeds 091E,1609
E01011323,Leeds 051A,1183
E01011324,Leeds 046A,1935
E01011325,Leeds 046B,1506
E01011326,Leeds 046C,1380
E01011327,Leeds 052A,1320
E01011328,Leeds 052B,1480
E01011329,Leeds 051B,1443
E01011330,Leeds 051C,1266
E01011331,Leeds 058A,1250
E01011332,Leeds 046D,1450
E01011333,Leeds 051D,1269
E01011334,Leeds 058B,1371
E01011335,Leeds 052C,1694
E01011336,Leeds 058C,1494
E01011337,Leeds 058D,1583
E01011338,Leeds 064A,1857
E01011339,Leeds 060A,2095
E01011340,Leeds 060B,1765
E01011341,Leeds 061A,1608
E01011342,Leeds 060C,1585
E01011343,Leeds 061B,1889
E01011344,Leeds 065A,2480
E01011345,Leeds 061C,1416
E01011346,Leeds 060D,1829
E01011347,Leeds 065B,2200
E01011348,Leeds 065C,1725
E01011349,Leeds 065D,1916
E01011350,Leeds 034A,1474
E01011351,Leeds 034B,1633
E01011352,Leeds 034C,1857
E01011353,Leeds 034D,1754
E01011354,Leeds 038A,1380
E01011355,Leeds 038B,1402
E01011356,Leeds 042A,1955
E01011357,Leeds 038C,2066
E01011358,Leeds 042B,1556
E01011359,Leeds 042C,1889
E01011360,Leeds 042D,2163
E01011361,Leeds 042E,2652
E01011362,Leeds 081A,1961
E01011363,Leeds 071E,1892
E01011364,Leeds 085A,2114
E01011366,Leeds 082A,1765
E01011368,Leeds 082C,1603
E01011369,Leeds 090E,1620
E01011370,Leeds 082D,1780
E01011371,Leeds 085B,1751
E01011372,Leeds 086C,1507
E01011373,Leeds 085C,1646
E01011374,Leeds 085D,1306
E01011375,Leeds 086D,1930
E01011376,Leeds 013A,1460
E01011377,Leeds 013B,1334
E01011378,Leeds 013C,1342
E01011379,Leeds 017A,1502
E01011380,Leeds 016A,1463
E01011381,Leeds 016B,1327
E01011382,Leeds 013D,1443
E01011383,Leeds 019A,1619
E01011384,Leeds 017B,1434
