wd20cd,wd20nm,population
E05011384,Ardsley & Robin Hood,22806
E05011385,Armley,24933
E05011387,Bramley & Stanningley,22727
E05011388,Burmantofts & Richmond Hill,28308
E05011389,Calverley & Farsley,23154
E05011390,Chapel Allerton,24280
E05011391,Cross Gates & Whinmoor,23120
E05011393,Garforth & Swillington,20086
E05011394,Gipton & Harehills,32983
E05011395,Guiseley & Rawdon,22843
E05011396,Harewood,18335
E05011397,Headingley & Hyde Park,32688
E05011399,Hunslet & Riverside,28536
E05011400,Killingbeck & Seacroft,24658
E05011401,Kippax & Methley,21113
E05011402,Kirkstall,21816
E05011403,Little London & Woodhouse,35900
E05011404,Middleton Park,28562
E05011405,Moortown,22564
E05011406,Morley North,22419
E05011407,Morley South,22448
E05011409,Pudsey,24618
E05011410,Rothwell,20334
E05011411,Roundhay,23191
E05011412,Temple Newsam,21217
E05011413,Weetwood,21386
E05011414,Wetherby,20339
E05011547,Horsforth,22273
E05011549,Otley & Yeadon,22191
E05012647,Beeston & Holbeck,26634
E05012648,Farnley & Wortley,24335
E05012841,Adel & Wharfedale,19501
E05012842,Alwoodley,22841
